t,D1,D2,scale,sc_length,rapt
-4.97538000000E-03,9.59867000000E-02,8.19872000000E-02,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.14076000000E-04,1.25328000000E-01,1.08936000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
5.01600000000E-03,1.52612000000E-01,1.36071000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.00071000000E-02,1.73657000000E-01,1.59185000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
1.50174000000E-02,1.89375000000E-01,1.77329000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.00119000000E-02,2.05351000000E-01,1.93533000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.47367000000E-02,2.23602000000E-01,2.09861000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
2.50236000000E-02,2.24647000000E-01,2.10760000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.00105000000E-02,2.40206000000E-01,2.24337000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
3.50219000000E-02,2.47802000000E-01,2.34338000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
4.00220000000E-02,2.50309000000E-01,2.38014000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
4.50178000000E-02,2.54049000000E-01,2.41906000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
5.00106000000E-02,2.58251000000E-01,2.46233000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
5.50117000000E-02,2.57282000000E-01,2.47027000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
6.00059000000E-02,2.60374000000E-01,2.49535000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
6.50043000000E-02,2.63120000000E-01,2.52727000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
7.00054000000E-02,2.63099000000E-01,2.53116000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
7.50041000000E-02,2.63436000000E-01,2.53516000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
8.00132000000E-02,2.64660000000E-01,2.54689000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
8.50048000000E-02,2.65631000000E-01,2.55764000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
9.00130000000E-02,2.65770000000E-01,2.56230000000E-01,1.00000000000E+00,1.00000000000E+00,1.00000000000E+00
